number,value,datetime_start,datetime_complete,duration,params_l2_regularization,params_learning_rate,params_max_depth,params_max_iter,params_min_samples_leaf,state,alpha
18,0.00349843565529138,2024-10-26 15:39:41.911103,2024-10-26 15:39:48.656660,0 days 00:00:06.745557,0.6323890383772941,0.027881347514221624,16,266,28,PRUNED,0.7
19,0.003423573861782358,2024-10-26 15:39:48.656803,2024-10-26 15:39:59.002732,0 days 00:00:10.345929,0.8750353877277226,0.04408834350496377,12,460,20,COMPLETE,0.7
0,0.002814631151221176,2024-10-26 15:39:59.301303,2024-10-26 15:40:10.696504,0 days 00:00:11.395201,0.7731595757692444,0.023251464489492127,10,844,33,COMPLETE,0.8
1,0.0028304817458135218,2024-10-26 15:40:10.696691,2024-10-26 15:40:15.945790,0 days 00:00:05.249099,0.9729751784767066,0.07238554047129532,11,623,23,COMPLETE,0.8
2,0.002809500134983111,2024-10-26 15:40:15.945948,2024-10-26 15:40:31.347084,0 days 00:00:15.401136,0.02996270586547045,0.024522355904959298,10,901,39,COMPLETE,0.8
3,0.0030404308331450827,2024-10-26 15:40:31.347239,2024-10-26 15:40:36.175013,0 days 00:00:04.827774,0.8860095583616432,0.02344962608280547,14,179,30,COMPLETE,0.8
4,0.0027656617665429333,2024-10-26 15:40:36.175213,2024-10-26 15:40:43.722968,0 days 00:00:07.547755,0.5138626087854481,0.0355651042233894,14,332,8,COMPLETE,0.8
5,0.003051103635607518,2024-10-26 15:40:43.723135,2024-10-26 15:40:44.733531,0 days 00:00:01.010396,0.8892890125417312,0.08475895132597583,3,459,8,PRUNED,0.8
6,0.0027921133547003955,2024-10-26 15:40:44.733815,2024-10-26 15:40:52.702699,0 days 00:00:07.968884,0.6878740398145013,0.04215187256196373,9,496,16,COMPLETE,0.8
7,0.002833602235637953,2024-10-26 15:40:52.702916,2024-10-26 15:40:58.910404,0 days 00:00:06.207488,0.48266155241405806,0.04895203181171959,12,269,28,PRUNED,0.8
