number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,quantile
9,0.004577614020768233,2024-10-17 22:29:00.434780,2024-10-17 22:29:04.616769,0 days 00:00:04.181989,0.0017051468681840568,0.7886098694462074,0.020113915980377945,8,22,0.26022191051473764,0.2964294405644392,500,65,0.1957016989378505,0.9956831504216582,0.8927823042373231,5,COMPLETE,0.4
10,0.003963382118954363,2024-10-17 22:29:04.617003,2024-10-17 22:29:36.247967,0 days 00:00:31.630964,0.0007534437765636814,0.6795439468944124,0.010154828322848282,15,12,0.19593342913549017,0.0007832548018340546,984,262,0.8629077709887555,0.4370412844137149,0.9728507340704955,10,COMPLETE,0.4
11,0.0039956132153569635,2024-10-17 22:29:36.248304,2024-10-17 22:30:10.350730,0 days 00:00:34.102426,0.0007693416075362787,0.6707300120759715,0.011097770158269219,14,7,0.23554968010895738,0.033194834839700364,988,276,0.9405763795968524,0.002659840677385783,0.9781043906153871,10,COMPLETE,0.4
12,0.0039747774023360626,2024-10-17 22:30:10.350973,2024-10-17 22:30:35.086889,0 days 00:00:24.735916,0.00011175324844350353,0.6982427577883086,0.01066068763242524,15,24,1.9481473438087478,0.1647535303099436,827,265,0.826650470592829,0.4086606849898427,0.981166605163738,10,COMPLETE,0.4
13,0.003678575203446096,2024-10-17 22:30:35.087132,2024-10-17 22:30:58.507090,0 days 00:00:23.419958,0.000749762940605202,0.7018755437956463,0.0274723493230252,16,18,1.9084706266923042,0.000642924775944409,838,231,0.6543366168805949,0.44704738296440955,0.9005739180142349,8,COMPLETE,0.4
14,0.004410287884862727,2024-10-17 22:30:58.507324,2024-10-17 22:31:03.507165,0 days 00:00:04.999841,0.003258439954115287,0.736890461268431,0.02722935833019666,17,50,2.2639249957785443,0.6733245295123154,814,218,0.6564645384487648,0.7737758518483174,0.6673741847243544,7,COMPLETE,0.4
15,0.0038436559821799234,2024-10-17 22:31:03.507411,2024-10-17 22:31:16.466024,0 days 00:00:12.958613,0.0005558403248788892,0.5962454375262204,0.06868797433522648,20,96,3.9337668914716413,0.16253200015539246,824,221,0.628949931723536,0.35875146482266734,0.8876543255429549,8,COMPLETE,0.4
16,0.00380772205749492,2024-10-17 22:31:16.466274,2024-10-17 22:31:30.488424,0 days 00:00:14.022150,0.012677933973791904,0.8884922946649418,0.028543602470242173,13,20,9.005776578335324,0.2837731005322948,725,223,0.6969560838788998,0.5580613527707151,0.9188299746938808,3,COMPLETE,0.4
17,0.004427330983140386,2024-10-17 22:31:30.488660,2024-10-17 22:31:35.204765,0 days 00:00:04.716105,0.012440082162766854,0.8894145557718792,0.02922925237645968,12,54,9.452123285602028,0.6499486124056977,686,227,0.6419721113681728,0.5606978144217454,0.9337906278380995,3,COMPLETE,0.4
18,0.003603368151787411,2024-10-17 22:31:35.205003,2024-10-17 22:31:50.778187,0 days 00:00:15.573184,0.014302138501893316,0.9744689204015444,0.03648269250134382,13,16,9.806951462369192,0.14658367286879997,732,296,0.7499381007881127,0.7381623605947292,0.6766671160278048,3,COMPLETE,0.4
19,0.0036898660237038926,2024-10-17 22:31:50.778417,2024-10-17 22:32:01.974984,0 days 00:00:11.196567,0.7892723564234854,0.9977538396178786,0.04936162649681602,16,34,5.029119470196273,0.14492636779342194,588,300,0.5455536239109996,0.791263959403939,0.6680111161396416,4,COMPLETE,0.4
0,0.004497706621567478,2024-10-17 22:33:45.210780,2024-10-17 22:33:46.468416,0 days 00:00:01.257636,0.009873186168475115,0.5858090871417609,0.035796534373366266,17,49,1.805842122396133,0.3879276570687451,148,44,0.8678609233419516,0.4939947050624134,0.6444427212897965,6,COMPLETE,0.5
1,0.0038821909740880617,2024-10-17 22:33:46.468636,2024-10-17 22:33:52.769617,0 days 00:00:06.300981,0.0003822502225211413,0.9694698576608394,0.02483322155565816,17,21,5.031845862833083,0.8024723325513294,449,290,0.19683441826557158,0.0306795569556223,0.9033478981714038,8,COMPLETE,0.5
2,0.0043729972943615525,2024-10-17 22:33:52.769849,2024-10-17 22:33:55.484602,0 days 00:00:02.714753,0.11546978178863791,0.9405971014355001,0.07616522775372826,10,82,3.352873720667478,0.9393783556652409,967,152,0.8277967301280943,0.48601862072644186,0.6283055018850336,1,COMPLETE,0.5
3,0.004430850221381851,2024-10-17 22:33:55.484841,2024-10-17 22:33:58.101404,0 days 00:00:02.616563,0.0004226055245706404,0.7094093863163086,0.01331271670728933,8,26,0.22393446467906974,0.5088092732209187,264,256,0.653971321457991,0.09394453989709783,0.822671495233499,7,COMPLETE,0.5
4,0.0049945668798390686,2024-10-17 22:33:58.101633,2024-10-17 22:33:58.559086,0 days 00:00:00.457453,0.005173930794430386,0.8260469168610549,0.027245069674873616,4,55,4.61906335968623,0.12395687930499966,178,78,0.8777826680007786,0.01437986503599642,0.6886392548892304,5,COMPLETE,0.5
5,0.004193006947388916,2024-10-17 22:33:58.559335,2024-10-17 22:34:01.538578,0 days 00:00:02.979243,0.19555473073559757,0.6067868165277714,0.02803529989588728,11,53,3.1192257278228377,0.4741051798505389,212,202,0.646385711187169,0.21924269882754532,0.8319498987490703,2,COMPLETE,0.5
6,0.004511123429619774,2024-10-17 22:34:01.538803,2024-10-17 22:34:04.684524,0 days 00:00:03.145721,0.015213470225082812,0.6840958047051342,0.0127411342599126,18,18,7.091623469151511,0.41856343701432075,234,96,0.4594479041462489,0.5229116226842347,0.9126501984078885,2,COMPLETE,0.5
